code,city_id,state,lat,lon
10007,Church Street, NY,40.71,-73.99
10007,Manhattan, NY,40.71,-73.99
10007,Nyc, NY,40.71,-73.99
10008,New York, NY,40.71,-73.99
10008,Manhattan, NY,40.71,-73.99
10008,Nyc, NY,40.71,-73.99
10009,New York, NY,40.71,-73.99
10009,Manhattan, NY,40.71,-73.99
10009,Nyc, NY,40.71,-73.99
10009,Peter Stuyvesant, NY,40.71,-73.99
10010,New York, NY,40.71,-73.99
10010,Madison Square Sta, NY,40.71,-73.99
10010,Manhattan, NY,40.71,-73.99
10010,Nyc, NY,40.71,-73.99
10011,New York, NY,40.71,-73.99
10012,New York, NY,40.71,-73.99
10012,Prince, NY,40.71,-73.99
10012,Manhattan, NY,40.71,-73.99
10012,Ny City, NY,40.71,-73.99
10012,Nyc, NY,40.71,-73.99
10013,New York, NY,40.71,-73.99
10013,Canal Street, NY,40.71,-73.99
10013,Chinatown, NY,40.71,-73.99
10013,Manhattan, NY,40.71,-73.99
10013,Nyc, NY,40.71,-73.99
10014,New York, NY,40.71,-73.99
10014,Manhattan, NY,40.71,-73.99
10014,Nyc, NY,40.71,-73.99
10016,New York, NY,40.71,-73.99
10016,Manhattan, NY,40.71,-73.99
10016,Nyc, NY,40.71,-73.99
10017,New York, NY,40.71,-73.99
10017,Grand Central, NY,40.71,-73.99
10017,Manhattan, NY,40.71,-73.99
10017,Nyc, NY,40.71,-73.99
10018,New York, NY,40.71,-73.99
10018,Manhattan, NY,40.71,-73.99
10018,Nyc, NY,40.71,-73.99
10019,New York, NY,40.71,-73.99
10019,Manhattan, NY,40.71,-73.99
10019,Nyc, NY,40.71,-73.99
10020,New York, NY,40.71,-73.99
10020,Manhattan, NY,40.71,-73.99
10020,Nyc, NY,40.71,-73.99
10021,New York, NY,40.77,-73.95
10021,Manhattan, NY,40.77,-73.95
10021,Nyc, NY,40.77,-73.95
10022,New York, NY,40.71,-73.99
10022,Franklin D Roosevelt, NY,40.71,-73.99
10022,Manhattan, NY,40.71,-73.99
10022,Nyc, NY,40.71,-73.99
10023,New York, NY,40.71,-73.99
10023,Manhattan, NY,40.71,-73.99
10023,Nyc, NY,40.71,-73.99
10024,New York, NY,40.71,-73.99
10024,Manhattan, NY,40.71,-73.99
10024,Nyc, NY,40.71,-73.99
10024,Planetarium, NY,40.71,-73.99
10025,New York, NY,40.71,-73.99
10025,Manhattan, NY,40.71,-73.99
10025,Nyc, NY,40.71,-73.99
10026,New York, NY,40.71,-73.99
10026,Morningside, NY,40.71,-73.99
10026,Nyc, NY,40.71,-73.99
10027,New York, NY,40.71,-73.99
10027,Manhattan, NY,40.71,-73.99
10027,Manhattanville, NY,40.71,-73.99
10027,Ny City, NY,40.71,-73.99
10027,Nyc, NY,40.71,-73.99
10028,New York, NY,40.71,-73.99
10028,Manhattan, NY,40.71,-73.99
