code,type,city_id,state,lat,lon
10499,UNIQUE,Priority Mail Ctr, NY,40.84,-73.87
10001,STANDARD,New York, NY,40.71,-73.99
10001,STANDARD,Empire State, NY,40.71,-73.99
10001,STANDARD,G P O, NY,40.71,-73.99
10001,STANDARD,Greeley Square, NY,40.71,-73.99
10001,STANDARD,Macys Finance, NY,40.71,-73.99
10001,STANDARD,Manhattan, NY,40.71,-73.99
10002,STANDARD,New York, NY,40.71,-73.99
10002,STANDARD,Knickerbocker, NY,40.71,-73.99
10002,STANDARD,Manhattan, NY,40.71,-73.99
10002,STANDARD,New York City, NY,40.71,-73.99
10002,STANDARD,Ny, NY,40.71,-73.99
10002,STANDARD,Ny City, NY,40.71,-73.99
10002,STANDARD,Nyc, NY,40.71,-73.99
10003,STANDARD,New York, NY,40.71,-73.99
10003,STANDARD,Cooper, NY,40.71,-73.99
10003,STANDARD,Manhattan, NY,40.71,-73.99
10004,STANDARD,New York, NY,40.71,-73.99
10004,STANDARD,Bowling Green, NY,40.71,-73.99
10005,STANDARD,New York, NY,40.71,-73.99
10005,STANDARD,Wall Street, NY,40.71,-73.99
10005,STANDARD,Manhattan, NY,40.71,-73.99
10005,STANDARD,Nyc, NY,40.71,-73.99
10006,STANDARD,New York, NY,40.71,-73.99
10006,STANDARD,Trinity, NY,40.71,-73.99
10006,STANDARD,Manhattan, NY,40.71,-73.99
10006,STANDARD,Nyc, NY,40.71,-73.99
10007,STANDARD,New York, NY,40.71,-73.99
10007,STANDARD,Church Street, NY,40.71,-73.99
10007,STANDARD,Manhattan, NY,40.71,-73.99
10007,STANDARD,Nyc, NY,40.71,-73.99
10008,PO BOX,New York, NY,40.71,-73.99
10008,PO BOX,Manhattan, NY,40.71,-73.99
10008,PO BOX,Nyc, NY,40.71,-73.99
10009,STANDARD,New York, NY,40.71,-73.99
10009,STANDARD,Manhattan, NY,40.71,-73.99
10009,STANDARD,Nyc, NY,40.71,-73.99
10009,STANDARD,Peter Stuyvesant, NY,40.71,-73.99
10010,STANDARD,New York, NY,40.71,-73.99
10010,STANDARD,Madison Square Sta, NY,40.71,-73.99
10010,STANDARD,Manhattan, NY,40.71,-73.99
10010,STANDARD,Nyc, NY,40.71,-73.99
10011,STANDARD,New York, NY,40.71,-73.99
10012,STANDARD,New York, NY,40.71,-73.99
10012,STANDARD,Prince, NY,40.71,-73.99
10012,STANDARD,Manhattan, NY,40.71,-73.99
10012,STANDARD,Ny City, NY,40.71,-73.99
10012,STANDARD,Nyc, NY,40.71,-73.99
10013,STANDARD,New York, NY,40.71,-73.99
10013,STANDARD,Canal Street, NY,40.71,-73.99
10013,STANDARD,Chinatown, NY,40.71,-73.99
10013,STANDARD,Manhattan, NY,40.71,-73.99
10013,STANDARD,Nyc, NY,40.71,-73.99
10014,STANDARD,New York, NY,40.71,-73.99
10014,STANDARD,Manhattan, NY,40.71,-73.99
10014,STANDARD,Nyc, NY,40.71,-73.99
10016,STANDARD,New York, NY,40.71,-73.99
10016,STANDARD,Manhattan, NY,40.71,-73.99
10016,STANDARD,Nyc, NY,40.71,-73.99
10017,STANDARD,New York, NY,40.71,-73.99
10017,STANDARD,Grand Central, NY,40.71,-73.99
10017,STANDARD,Manhattan, NY,40.71,-73.99
10017,STANDARD,Nyc, NY,40.71,-73.99
10018,STANDARD,New York, NY,40.71,-73.99
10018,STANDARD,Manhattan, NY,40.71,-73.99
10018,STANDARD,Nyc, NY,40.71,-73.99
10019,STANDARD,New York, NY,40.71,-73.99
10019,STANDARD,Manhattan, NY,40.71,-73.99
10019,STANDARD,Nyc, NY,40.71,-73.99
10020,STANDARD,New York, NY,40.71,-73.99
10020,STANDARD,Manhattan, NY,40.71,-73.99
10020,STANDARD,Nyc, NY,40.71,-73.99
10021,STANDARD,New York, NY,40.77,-73.95
10021,STANDARD,Manhattan, NY,40.77,-73.95
10021,STANDARD,Nyc, NY,40.77,-73.95
10022,STANDARD,New York, NY,40.71,-73.99
10022,STANDARD,Franklin D Roosevelt, NY,40.71,-73.99
10022,STANDARD,Manhattan, NY,40.71,-73.99
10022,STANDARD,Nyc, NY,40.71,-73.99
10023,STANDARD,New York, NY,40.71,-73.99
10023,STANDARD,Manhattan, NY,40.71,-73.99
10023,STANDARD,Nyc, NY,40.71,-73.99
10024,STANDARD,New York, NY,40.71,-73.99
10024,STANDARD,Manhattan, NY,40.71,-73.99
10024,STANDARD,Nyc, NY,40.71,-73.99
10024,STANDARD,Planetarium, NY,40.71,-73.99
10025,STANDARD,New York, NY,40.71,-73.99
10025,STANDARD,Manhattan, NY,40.71,-73.99
10025,STANDARD,Nyc, NY,40.71,-73.99
10026,STANDARD,New York, NY,40.71,-73.99
10026,STANDARD,Morningside, NY,40.71,-73.99
10026,STANDARD,Nyc, NY,40.71,-73.99
10027,STANDARD,New York, NY,40.71,-73.99
10027,STANDARD,Manhattan, NY,40.71,-73.99
10027,STANDARD,Manhattanville, NY,40.71,-73.99
10027,STANDARD,Ny City, NY,40.71,-73.99
10027,STANDARD,Nyc, NY,40.71,-73.99
10028,STANDARD,New York, NY,40.71,-73.99
10028,STANDARD,Manhattan, NY,40.71,-73.99
10028,STANDARD,Nyc, NY,40.71,-73.99
10029,STANDARD,New York, NY,40.71,-73.99
10029,STANDARD,Manhattan, NY,40.71,-73.99
10029,STANDARD,Nyc, NY,40.71,-73.99
10030,STANDARD,New York, NY,40.71,-73.99
10030,STANDARD,College, NY,40.71,-73.99
10030,STANDARD,Manhattan, NY,40.71,-73.99
10030,STANDARD,Nyc, NY,40.71,-73.99
10031,STANDARD,New York, NY,40.71,-73.99
10031,STANDARD,Hamilton Grange, NY,40.71,-73.99
10031,STANDARD,Manhattan, NY,40.71,-73.99
10031,STANDARD,Nyc, NY,40.71,-73.99
10032,STANDARD,New York, NY,40.71,-73.99
10032,STANDARD,Manhattan, NY,40.71,-73.99
10032,STANDARD,Nyc, NY,40.71,-73.99
10033,STANDARD,New York, NY,40.71,-73.99
10033,STANDARD,Manhattan, NY,40.71,-73.99
10033,STANDARD,Nyc, NY,40.71,-73.99
10033,STANDARD,Washington Bridge, NY,40.71,-73.99
10034,STANDARD,New York, NY,40.71,-73.99
612,STANDARD,Parc Rodriguez Olmo, PR,18.45,-66.73
612,STANDARD,Parq De Jardines, PR,18.45,-66.73
612,STANDARD,Paseos Reales, PR,18.45,-66.73
612,STANDARD,Repto Marquez, PR,18.45,-66.73
612,STANDARD,Repto San Jose, PR,18.45,-66.73
612,STANDARD,Repto San Juan, PR,18.45,-66.73
612,STANDARD,Sect Abra, PR,18.45,-66.73
612,STANDARD,Sect El Cano, PR,18.45,-66.73
612,STANDARD,Sect Las Animas, PR,18.45,-66.73
612,STANDARD,Sect Muelle, PR,18.45,-66.73
612,STANDARD,Urb Arecibo Gdns, PR,18.45,-66.73
612,STANDARD,Urb College Park Iv, PR,18.45,-66.73
612,STANDARD,Urb Costas Del Atlantico, PR,18.45,-66.73
